[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151448608 bytes, ratio: 0.674919x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151455968 bytes, ratio: 0.674952x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151494304 bytes, ratio: 0.675123x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151593280 bytes, ratio: 0.675564x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151670144 bytes, ratio: 0.675906x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151577488 bytes, ratio: 0.675493x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151667600 bytes, ratio: 0.675895x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151572560 bytes, ratio: 0.675471x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151680560 bytes, ratio: 0.675953x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151628928 bytes, ratio: 0.675722x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151644656 bytes, ratio: 0.675793x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151736128 bytes, ratio: 0.6762x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151690224 bytes, ratio: 0.675996x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151702480 bytes, ratio: 0.67605x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151732608 bytes, ratio: 0.676185x
[ERROR | RDMA | ip-172-31-36-157 | 3182405 | 3182405 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 224395264 bytes to 151732304 bytes, ratio: 0.676183x
