name,shape,dtype,Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
decoder.layers.39.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.071,0.059,0.23,0.28,14304,0.873
decoder.layers.39.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.099,0.109,339.85,307.11,28271232,0.8425
decoder.layers.39.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.053,0.16,0.18,8400,0.9115
decoder.layers.39.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14288,0.8721
decoder.layers.39.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.105,0.106,359.07,357.52,32018928,0.8482
decoder.layers.3.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.071,0.06,0.23,0.27,14416,0.8799
decoder.layers.3.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.278,0.236,807.31,948.99,189288128,0.8435
decoder.layers.3.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.169,0.142,664.57,792.59,94690528,0.844
decoder.layers.3.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.065,0.26,0.25,14336,0.875
decoder.layers.3.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.061,0.24,0.27,14336,0.875
decoder.layers.3.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.102,348.47,329.76,28298240,0.8434
decoder.layers.3.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.061,0.05,0.15,0.18,8496,0.9219
decoder.layers.3.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.071,0.061,0.23,0.27,14448,0.8818
decoder.layers.3.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.104,0.104,362.43,362.32,32121536,0.8509
decoder.layers.4.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.064,0.26,0.25,14432,0.8809
decoder.layers.4.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.269,0.241,832.74,932.54,189015744,0.8423
decoder.layers.4.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.169,0.142,663.34,792.41,94499936,0.8423
decoder.layers.4.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.068,0.06,0.24,0.27,14368,0.877
decoder.layers.4.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.26,0.27,14352,0.876
decoder.layers.4.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.102,0.102,329.31,329.26,28533504,0.8504
decoder.layers.4.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.047,0.16,0.2,8512,0.9236
decoder.layers.4.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14448,0.8818
decoder.layers.4.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.102,0.104,369.92,364.6,32329920,0.8565
decoder.layers.5.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.06,0.26,0.27,14448,0.8818
decoder.layers.5.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.272,0.238,824.54,940.87,188859616,0.8416
decoder.layers.5.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.174,0.139,644.23,806.4,94452464,0.8418
decoder.layers.5.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.062,0.26,0.26,14336,0.875
decoder.layers.5.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.064,0.26,0.26,14336,0.875
decoder.layers.5.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.099,0.102,338.29,328.66,28245520,0.8418
decoder.layers.5.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.066,0.049,0.14,0.19,8464,0.9184
decoder.layers.5.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.067,0.06,0.24,0.27,14448,0.8818
decoder.layers.5.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.104,0.106,363.21,357.18,32074880,0.8497
decoder.layers.6.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14432,0.8809
decoder.layers.6.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.271,0.235,829.51,955.3,188712832,0.841
decoder.layers.6.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.168,0.139,666.31,804.91,94464128,0.8419
decoder.layers.6.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.06,0.24,0.27,14352,0.876
decoder.layers.6.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.063,0.065,0.26,0.25,14352,0.876
