[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22959488 bytes, ratio: 0.684246x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22852848 bytes, ratio: 0.681068x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23198128 bytes, ratio: 0.691358x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22830944 bytes, ratio: 0.680415x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22807744 bytes, ratio: 0.679724x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22875728 bytes, ratio: 0.68175x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22850352 bytes, ratio: 0.680994x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22832192 bytes, ratio: 0.680452x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22862720 bytes, ratio: 0.681362x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22783312 bytes, ratio: 0.678996x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22830944 bytes, ratio: 0.680415x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22808112 bytes, ratio: 0.679735x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22850352 bytes, ratio: 0.680994x
